Year,Name,Rank,Gender
1990,Robin,201,F
1990,Rafael,202,M
1990,Destiny,202,F
1990,Andres,203,M
1990,Madison,203,F
1990,Bryant,204,M
1990,Savannah,204,F
1990,Maurice,205,M
1990,Wendy,205,F
1990,Isaiah,206,M
1990,Lydia,206,F
1990,Dominique,207,M
1990,Melinda,207,F
1990,Mason,208,M
1990,Ellen,208,F
1990,Roger,209,M
1990,Tamara,209,F
1990,Raul,210,M
1990,Barbara,210,F
1990,Gerald,211,M
1990,Alejandra,211,F
1990,Joe,212,M
1990,Chloe,212,F
1990,Lee,213,M
1990,Marie,213,F
1990,Billy,214,M
1990,Jenny,214,F
1990,Jaime,215,M
1990,Virginia,215,F
1990,Jon,216,M
1990,Kasey,216,F
1990,Jay,217,M
1990,Carmen,217,F
1990,Emmanuel,218,M
1990,Jade,218,F
1990,Hunter,219,M
1990,Jocelyn,219,F
1990,Tanner,220,M
1990,Evelyn,220,F
1990,Connor,221,M
1990,Jacquelyn,221,F
1990,Willie,222,M
1990,Abby,222,F
1990,Erick,223,M
1990,Janet,223,F
1990,Shaun,224,M
1990,Tracy,224,F
1990,Alberto,225,M
1990,Cortney,225,F
1990,Marco,226,M
1990,Bailey,226,F
1990,Jamie,227,M
1990,Ariana,227,F
1990,Noah,228,M
1990,Cassie,228,F
1990,Armando,229,M
1990,Martha,229,F
1990,Reginald,230,M
1990,Brittani,230,F
1990,Jessie,231,M
1990,Jasmin,231,F
1990,Eddie,232,M
1990,Hilary,232,F
1990,Theodore,233,M
1990,Adrienne,233,F
1990,Zachery,234,M
1990,Kaylee,234,F
1990,Terrance,235,M
1990,Cara,235,F
1990,Roy,236,M
1990,Allyson,236,F
1990,Marvin,237,M
1990,Pamela,237,F
1990,Micah,238,M
1990,Kristine,238,F
1990,Collin,239,M
1990,Raquel,239,F
1990,Bruce,240,M
1990,Tina,240,F
1990,Malcolm,241,M
1990,Gloria,241,F
1990,Wayne,242,M
1990,Rosa,242,F
1990,Elijah,243,M
1990,Camille,243,F
1990,Colby,244,M
1990,Michele,244,F
1990,Darrell,245,M
1990,Tiara,245,F
1990,Abraham,246,M
1990,Tasha,246,F
1990,Jamal,247,M
1990,Mackenzie,247,F
1990,Cole,248,M
1990,Kristy,248,F
1990,Geoffrey,249,M
1990,Shawna,249,F
1990,Ramon,250,M
1990,Sophia,250,F
1990,Johnathon,251,M
1990,Ann,251,F
1990,Frederick,252,M
1990,Tanya,252,F
1990,Trent,253,M
1990,Latoya,253,F
1990,Gerardo,254,M
1990,Jessie,254,F
1990,Darryl,255,M
1990,Marisa,255,F
1990,Terrence,256,M
1990,Kari,256,F
1990,Brock,257,M
1990,Carissa,257,F
1990,Marquis,258,M
1990,Janelle,258,F
1990,Arturo,259,M
1990,Mariah,259,F
1990,Tyrone,260,M
1990,Nina,260,F
1990,Neil,261,M
1990,Angelina,261,F
1990,Ronnie,262,M
1990,Deborah,262,F
1990,Enrique,263,M
1990,Carla,263,F
1990,Jerome,264,M
1990,Kellie,264,F
1990,Byron,265,M
1990,Elise,265,F
1990,Trenton,266,M
1990,Hope,266,F
1990,Steve,267,M
1990,Hayley,267,F
1990,Nickolas,268,M
1990,Cierra,268,F
1990,Miles,269,M
1990,Kristi,269,F
1990,Tommy,270,M
1990,Kate,270,F
1990,Alec,271,M
1990,Summer,271,F
1990,Alfredo,272,M
1990,Aimee,272,F
1990,Marcos,273,M
1990,Chelsie,273,F
1990,Kurt,274,M
1990,Sharon,274,F
1990,Andy,275,M
1990,Toni,275,F
1990,Deandre,276,M
1990,Alissa,276,F
1990,Morgan,277,M
1990,Devon,277,F
1990,Melvin,278,M
1990,Misty,278,F
1990,Harrison,279,M
1990,Karla,279,F
1990,Marshall,280,M
1990,Jeanette,280,F
1990,Nelson,281,M
1990,Regina,281,F
1990,Terrell,282,M
1990,Nikki,282,F
1990,Ernest,283,M
1990,Tatiana,283,F
1990,Francis,284,M
1990,Christy,284,F
1990,Dale,285,M
1990,Miriam,285,F
1990,Dean,286,M
1990,Esther,286,F
1990,Desmond,287,M
1990,Charlotte,287,F
1990,Kelvin,288,M
1990,Maggie,288,F
1990,Kendall,289,M
1990,Stefanie,289,F
1990,Demetrius,290,M
1990,Tessa,290,F
1990,Leonard,291,M
1990,Ruby,291,F
1990,Josue,292,M
1990,Gabriella,292,F
1990,Salvador,293,M
1990,Hailey,293,F
1990,Gavin,294,M
1990,Ciara,294,F
1990,Karl,295,M
1990,Faith,295,F
1990,Glenn,296,M
1990,Paula,296,F
1990,Quinton,297,M
1990,Callie,297,F
1990,Franklin,298,M
1990,Aubrey,298,F
1990,Donovan,299,M
1990,Asia,299,F
1990,Branden,300,M
1990,Naomi,300,F
1990,Skyler,301,M
1990,Jazmine,301,F
1990,Nolan,302,M
1990,Carolina,302,F
1990,Rene,303,M
1990,Tia,303,F
1990,Kody,304,M
1990,Jazmin,304,F
1990,Kaleb,305,M
1990,Trisha,305,F
1990,Jermaine,306,M
1990,Ruth,306,F
1990,Dwayne,307,M
1990,Rose,307,F
1990,Diego,308,M
1990,Kelley,308,F
1990,Lorenzo,309,M
1990,Robyn,309,F
1990,Ernesto,310,M
1990,Jaime,310,F
1990,Riley,311,M
1990,Michaela,311,F
1990,Eugene,312,M
1990,Kassandra,312,F
1990,Stanley,313,M
1990,Karissa,313,F
1990,Orlando,314,M
1990,Melody,314,F
1990,Brady,315,M
1990,Sonia,315,F
1990,Chance,316,M
1990,Devin,316,F
1990,Israel,317,M
1990,Donna,317,F
1990,Jarrod,318,M
1990,Brianne,318,F
1990,Jackson,319,M
1990,Christian,319,F
1990,Sebastian,320,M
1990,Helen,320,F
1990,Damon,321,M
1990,Kelsie,321,F
1990,Damian,322,M
1990,Clarissa,322,F
1990,Wade,323,M
1990,Lori,323,F
1990,Harold,324,M
1990,Marina,324,F
1990,Fabian,325,M
1990,Adrianna,325,F
1990,Landon,326,M
1990,Cecilia,326,F
1990,Zachariah,327,M
1990,Shaniqua,327,F
1990,Ray,328,M
1990,Guadalupe,328,F
1990,Giovanni,329,M
1990,Jill,329,F
1990,Tristan,330,M
1990,Cheyenne,330,F
1990,Alvin,331,M
1990,Ashton,331,F
1990,Damien,332,M
1990,Rachelle,332,F
1990,Zackary,333,M
1990,Sylvia,333,F
1990,Alexis,334,M
1990,Annie,334,F
1990,Angelo,335,M
1990,Taryn,335,F
1990,Dane,336,M
1990,Roxanne,336,F
1990,Beau,337,M
1990,Shayla,337,F
1990,Quentin,338,M
1990,Randi,338,F
1990,Kendrick,339,M
1990,Isabel,339,F
1990,Warren,340,M
1990,Leticia,340,F
1990,Gilbert,341,M
1990,Mia,341,F
1990,Parker,342,M
1990,Hanna,342,F
1990,Gustavo,343,M
1990,Katlyn,343,F
1990,Stuart,344,M
1990,Eva,344,F
1990,Trey,345,M
1990,Jane,345,F
1990,Clifford,346,M
1990,Simone,346,F
1990,Kirk,347,M
1990,Alice,347,F
1990,Barry,348,M
1990,Elisabeth,348,F
1990,Jordon,349,M
1990,Shana,349,F
1990,Lamar,350,M
1990,Carol,350,F
1990,Kelly,351,M
1990,Frances,351,F
1990,Joey,352,M
1990,Tierra,352,F
1990,Darnell,353,M
1990,Elena,353,F
